match,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,agency,opposition_team,class_external_id,competition_external_id,event_external_id,market_id,player_id,player_id_unders
Atlanta Hawks v New York Knicks,Atlanta Hawks,New York Knicks,Player Steals,Josh Hart,New York Knicks,1.5,1.99,NA,Sportsbet,Atlanta Hawks,16,19476,13622270,496050803,2373988089,NA
Atlanta Hawks v New York Knicks,Atlanta Hawks,New York Knicks,Player Steals,OG Anunoby,New York Knicks,1.5,2.2,NA,Sportsbet,Atlanta Hawks,16,19476,13622270,496050803,2373988090,NA
Atlanta Hawks v New York Knicks,Atlanta Hawks,New York Knicks,Player Steals,Dyson Daniels,Atlanta Hawks,1.5,1.22,NA,Sportsbet,New York Knicks,16,19476,13622270,496050803,2373988088,NA
Atlanta Hawks v New York Knicks,Atlanta Hawks,New York Knicks,Player Steals,Josh Hart,New York Knicks,0.5,1.2,NA,Sportsbet,Atlanta Hawks,16,19476,13622270,496050802,2373988086,NA
Atlanta Hawks v New York Knicks,Atlanta Hawks,New York Knicks,Player Steals,OG Anunoby,New York Knicks,0.5,1.24,NA,Sportsbet,Atlanta Hawks,16,19476,13622270,496050802,2373988087,NA
Atlanta Hawks v New York Knicks,Atlanta Hawks,New York Knicks,Player Steals,Dyson Daniels,Atlanta Hawks,0.5,1.03,NA,Sportsbet,New York Knicks,16,19476,13622270,496050802,2373988085,NA
Atlanta Hawks v New York Knicks,Atlanta Hawks,New York Knicks,Player Steals,Josh Hart,New York Knicks,2.5,4.25,NA,Sportsbet,Atlanta Hawks,16,19476,13622270,496050804,2373988092,NA
Atlanta Hawks v New York Knicks,Atlanta Hawks,New York Knicks,Player Steals,OG Anunoby,New York Knicks,2.5,4.8,NA,Sportsbet,Atlanta Hawks,16,19476,13622270,496050804,2373988093,NA
Atlanta Hawks v New York Knicks,Atlanta Hawks,New York Knicks,Player Steals,Dyson Daniels,Atlanta Hawks,2.5,1.75,NA,Sportsbet,New York Knicks,16,19476,13622270,496050804,2373988091,NA
Atlanta Hawks v New York Knicks,Atlanta Hawks,New York Knicks,Player Steals,Dyson Daniels,Atlanta Hawks,3.5,2.9,NA,Sportsbet,New York Knicks,16,19476,13622270,496050805,2373988094,NA
Atlanta Hawks v New York Knicks,Atlanta Hawks,New York Knicks,Player Steals,Dyson Daniels,Atlanta Hawks,4.5,5.4,NA,Sportsbet,New York Knicks,16,19476,13622270,496050806,2373988097,NA
Detroit Pistons v Memphis Grizzlies,Detroit Pistons,Memphis Grizzlies,Player Steals,Desmond Bane,Memphis Grizzlies,0.5,1.36,NA,Sportsbet,Detroit Pistons,16,19476,13622274,496055108,2374008151,NA
Detroit Pistons v Memphis Grizzlies,Detroit Pistons,Memphis Grizzlies,Player Steals,Ja Morant,Memphis Grizzlies,0.5,1.33,NA,Sportsbet,Detroit Pistons,16,19476,13622274,496055108,2374008150,NA
Detroit Pistons v Memphis Grizzlies,Detroit Pistons,Memphis Grizzlies,Player Steals,Ausar Thompson,Detroit Pistons,0.5,1.3,NA,Sportsbet,Memphis Grizzlies,16,19476,13622274,496055108,2374008149,NA
Detroit Pistons v Memphis Grizzlies,Detroit Pistons,Memphis Grizzlies,Player Steals,Desmond Bane,Memphis Grizzlies,1.5,2.7,NA,Sportsbet,Detroit Pistons,16,19476,13622274,496055109,2374008154,NA
