match,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,agency,opposition_team,class_external_id,competition_external_id,event_external_id,market_id,player_id,player_id_unders
Indiana Pacers v Denver Nuggets,Indiana Pacers,Denver Nuggets,Player Threes,Jamal Murray,Denver Nuggets,0.5,1.04,NA,Sportsbet,Indiana Pacers,16,19476,11657871,412798619,1846426295,NA
Indiana Pacers v Denver Nuggets,Indiana Pacers,Denver Nuggets,Player Threes,Kentavious Caldwell-Pope,Denver Nuggets,0.5,1.19,NA,Sportsbet,Indiana Pacers,16,19476,11657871,412798619,1846426296,NA
Indiana Pacers v Denver Nuggets,Indiana Pacers,Denver Nuggets,Player Threes,Michael Porter Jr.,Denver Nuggets,0.5,1.03,NA,Sportsbet,Indiana Pacers,16,19476,11657871,412798619,1846426297,NA
Indiana Pacers v Denver Nuggets,Indiana Pacers,Denver Nuggets,Player Threes,Aaron Nesmith,Indiana Pacers,0.5,1.13,NA,Sportsbet,Denver Nuggets,16,19476,11657871,412798619,1846682274,NA
Indiana Pacers v Denver Nuggets,Indiana Pacers,Denver Nuggets,Player Threes,Buddy Hield,Indiana Pacers,0.5,1.02,NA,Sportsbet,Denver Nuggets,16,19476,11657871,412798619,1846682273,NA
Indiana Pacers v Denver Nuggets,Indiana Pacers,Denver Nuggets,Player Threes,Myles Turner,Indiana Pacers,0.5,1.27,NA,Sportsbet,Denver Nuggets,16,19476,11657871,412798619,1846433270,NA
Indiana Pacers v Denver Nuggets,Indiana Pacers,Denver Nuggets,Player Threes,Pascal Siakam,Toronto Raptors,0.5,1.32,NA,Sportsbet,Indiana Pacers,16,19476,11657871,412798619,1846682275,NA
Indiana Pacers v Denver Nuggets,Indiana Pacers,Denver Nuggets,Player Threes,Michael Porter Jr.,Denver Nuggets,3.5,3.5,NA,Sportsbet,Indiana Pacers,16,19476,11657871,412798622,1846426306,NA
Indiana Pacers v Denver Nuggets,Indiana Pacers,Denver Nuggets,Player Threes,Jamal Murray,Denver Nuggets,3.5,4.2,NA,Sportsbet,Indiana Pacers,16,19476,11657871,412798622,1846426304,NA
Indiana Pacers v Denver Nuggets,Indiana Pacers,Denver Nuggets,Player Threes,Buddy Hield,Indiana Pacers,3.5,2.8,NA,Sportsbet,Denver Nuggets,16,19476,11657871,412798622,1846682282,NA
Indiana Pacers v Denver Nuggets,Indiana Pacers,Denver Nuggets,Player Threes,Michael Porter Jr.,Denver Nuggets,2.5,1.9,NA,Sportsbet,Indiana Pacers,16,19476,11657871,412798621,1846426303,NA
Indiana Pacers v Denver Nuggets,Indiana Pacers,Denver Nuggets,Player Threes,Jamal Murray,Denver Nuggets,2.5,2.15,NA,Sportsbet,Indiana Pacers,16,19476,11657871,412798621,1846426301,NA
Indiana Pacers v Denver Nuggets,Indiana Pacers,Denver Nuggets,Player Threes,Kentavious Caldwell-Pope,Denver Nuggets,2.5,4.8,NA,Sportsbet,Indiana Pacers,16,19476,11657871,412798621,1846426302,NA
Indiana Pacers v Denver Nuggets,Indiana Pacers,Denver Nuggets,Player Threes,Buddy Hield,Indiana Pacers,2.5,1.73,NA,Sportsbet,Denver Nuggets,16,19476,11657871,412798621,1846682279,NA
Indiana Pacers v Denver Nuggets,Indiana Pacers,Denver Nuggets,Player Threes,Aaron Nesmith,Indiana Pacers,2.5,3.5,NA,Sportsbet,Denver Nuggets,16,19476,11657871,412798621,1846682280,NA
Indiana Pacers v Denver Nuggets,Indiana Pacers,Denver Nuggets,Player Threes,Pascal Siakam,Toronto Raptors,2.5,5.8,NA,Sportsbet,Indiana Pacers,16,19476,11657871,412798621,1846682281,NA
Indiana Pacers v Denver Nuggets,Indiana Pacers,Denver Nuggets,Player Threes,Myles Turner,Indiana Pacers,2.5,6,NA,Sportsbet,Denver Nuggets,16,19476,11657871,412798621,1846433272,NA
Indiana Pacers v Denver Nuggets,Indiana Pacers,Denver Nuggets,Player Threes,Jamal Murray,Denver Nuggets,1.5,1.32,NA,Sportsbet,Indiana Pacers,16,19476,11657871,412798620,1846426298,NA
Indiana Pacers v Denver Nuggets,Indiana Pacers,Denver Nuggets,Player Threes,Michael Porter Jr.,Denver Nuggets,1.5,1.29,NA,Sportsbet,Indiana Pacers,16,19476,11657871,412798620,1846426300,NA
Indiana Pacers v Denver Nuggets,Indiana Pacers,Denver Nuggets,Player Threes,Kentavious Caldwell-Pope,Denver Nuggets,1.5,2.15,NA,Sportsbet,Indiana Pacers,16,19476,11657871,412798620,1846426299,NA
Indiana Pacers v Denver Nuggets,Indiana Pacers,Denver Nuggets,Player Threes,Aaron Nesmith,Indiana Pacers,1.5,1.84,NA,Sportsbet,Denver Nuggets,16,19476,11657871,412798620,1846682277,NA
Indiana Pacers v Denver Nuggets,Indiana Pacers,Denver Nuggets,Player Threes,Buddy Hield,Indiana Pacers,1.5,1.19,NA,Sportsbet,Denver Nuggets,16,19476,11657871,412798620,1846682276,NA
Indiana Pacers v Denver Nuggets,Indiana Pacers,Denver Nuggets,Player Threes,Myles Turner,Indiana Pacers,1.5,2.45,NA,Sportsbet,Denver Nuggets,16,19476,11657871,412798620,1846433271,NA
Indiana Pacers v Denver Nuggets,Indiana Pacers,Denver Nuggets,Player Threes,Pascal Siakam,Toronto Raptors,1.5,2.6,NA,Sportsbet,Indiana Pacers,16,19476,11657871,412798620,1846682278,NA
Indiana Pacers v Denver Nuggets,Indiana Pacers,Denver Nuggets,Player Threes,Michael Porter Jr.,Denver Nuggets,4.5,7.75,NA,Sportsbet,Indiana Pacers,16,19476,11657871,412798623,1846426309,NA
Indiana Pacers v Denver Nuggets,Indiana Pacers,Denver Nuggets,Player Threes,Buddy Hield,Indiana Pacers,4.5,5.4,NA,Sportsbet,Denver Nuggets,16,19476,11657871,412798623,1846682285,NA
Brooklyn Nets v New York Knicks,Brooklyn Nets,New York Knicks,Player Threes,Donte DiVincenzo,New York Knicks,4.5,5.9,NA,Sportsbet,Brooklyn Nets,16,19476,11657872,412799836,1846434504,NA
Brooklyn Nets v New York Knicks,Brooklyn Nets,New York Knicks,Player Threes,Jalen Brunson,New York Knicks,4.5,6,NA,Sportsbet,Brooklyn Nets,16,19476,11657872,412799836,1846434505,NA
