match,start_time,market_name,home_team,home_win,away_team,away_win,margin,agency
Indiana Pacers v Dallas Mavericks,2025-03-19T23:10:00.000Z,Head To Head,Indiana Pacers,2.6,Dallas Mavericks,1.48,1.06,TAB
Orlando Magic v Houston Rockets,2025-03-19T23:10:00.000Z,Head To Head,Orlando Magic,26,Houston Rockets,1.01,1.029,TAB
Miami Heat v Detroit Pistons,2025-03-19T23:40:00.000Z,Head To Head,Miami Heat,1.9,Detroit Pistons,1.9,1.053,TAB
Minnesota Timberwolves v New Orleans Pelicans,2025-03-20T00:10:00.000Z,Head To Head,Minnesota Timberwolves,1.18,New Orleans Pelicans,4.6,1.065,TAB
Oklahoma City Thunder v Philadelphia 76ers,2025-03-20T00:10:00.000Z,Head To Head,Oklahoma City Thunder,1.03,Philadelphia 76ers,11,1.062,TAB
San Antonio Spurs v New York Knicks,2025-03-20T00:10:00.000Z,Head To Head,San Antonio Spurs,1.08,New York Knicks,7.5,1.059,TAB
Utah Jazz v Washington Wizards,2025-03-20T01:10:00.000Z,Head To Head,Utah Jazz,2,Washington Wizards,1.8,1.056,TAB
Los Angeles Lakers v Denver Nuggets,2025-03-20T02:10:00.000Z,Head To Head,Los Angeles Lakers,1.48,Denver Nuggets,2.7,1.046,TAB
Phoenix Suns v Chicago Bulls,2025-03-20T02:10:00.000Z,Head To Head,Phoenix Suns,1.44,Chicago Bulls,2.9,1.039,TAB
Portland Trail Blazers v Memphis Grizzlies,2025-03-20T02:10:00.000Z,Head To Head,Portland Trail Blazers,2.5,Memphis Grizzlies,1.56,1.041,TAB
Sacramento Kings v Cleveland Cavaliers,2025-03-20T02:10:00.000Z,Head To Head,Sacramento Kings,3,Cleveland Cavaliers,1.41,1.043,TAB
Charlotte Hornets v New York Knicks,2025-03-20T23:10:00.000Z,Head To Head,Charlotte Hornets,4,New York Knicks,1.26,1.044,TAB
Indiana Pacers v Brooklyn Nets,2025-03-20T23:10:00.000Z,Head To Head,Indiana Pacers,1.26,Brooklyn Nets,4,1.044,TAB
Golden State Warriors v Toronto Raptors,2025-03-21T02:10:00.000Z,Head To Head,Golden State Warriors,1.1,Toronto Raptors,7.5,1.042,TAB
Sacramento Kings v Chicago Bulls,2025-03-21T02:10:00.000Z,Head To Head,Sacramento Kings,1.39,Chicago Bulls,3.1,1.042,TAB
Los Angeles Lakers v Milwaukee Bucks,2025-03-21T02:40:00.000Z,Head To Head,Los Angeles Lakers,2.3,Milwaukee Bucks,1.65,1.041,TAB
