match,home_team,away_team,player_name,player_team,opposition_team,market_name,line,over_price,under_price,agency,prop_id,under_prop_id
Milwaukee Bucks v San Antonio Spurs,Milwaukee Bucks,San Antonio Spurs,Ousmane Dieng,Milwaukee Bucks,San Antonio Spurs,Player Assists,1.5,1.13,NA,TAB,623458,NA
Milwaukee Bucks v San Antonio Spurs,Milwaukee Bucks,San Antonio Spurs,Victor Wembanyama,San Antonio Spurs,Milwaukee Bucks,Player Assists,1.5,1.19,NA,TAB,623459,NA
Milwaukee Bucks v San Antonio Spurs,Milwaukee Bucks,San Antonio Spurs,Devin Vassell,San Antonio Spurs,Milwaukee Bucks,Player Assists,1.5,1.3,NA,TAB,623460,NA
Milwaukee Bucks v San Antonio Spurs,Milwaukee Bucks,San Antonio Spurs,Kyle Kuzma,Milwaukee Bucks,San Antonio Spurs,Player Assists,1.5,1.45,NA,TAB,623461,NA
Milwaukee Bucks v San Antonio Spurs,Milwaukee Bucks,San Antonio Spurs,Myles Turner,Milwaukee Bucks,San Antonio Spurs,Player Assists,1.5,2.25,NA,TAB,623463,NA
Milwaukee Bucks v San Antonio Spurs,Milwaukee Bucks,San Antonio Spurs,Julian Champagnie,San Antonio Spurs,Milwaukee Bucks,Player Assists,1.5,2.3,NA,TAB,623464,NA
Milwaukee Bucks v San Antonio Spurs,Milwaukee Bucks,San Antonio Spurs,Stephon Castle,San Antonio Spurs,Milwaukee Bucks,Player Assists,3.5,1.03,NA,TAB,623474,NA
Milwaukee Bucks v San Antonio Spurs,Milwaukee Bucks,San Antonio Spurs,Ryan Rollins,Milwaukee Bucks,San Antonio Spurs,Player Assists,3.5,1.11,NA,TAB,623475,NA
Milwaukee Bucks v San Antonio Spurs,Milwaukee Bucks,San Antonio Spurs,DeAaron Fox,NA,NA,Player Assists,3.5,1.16,NA,TAB,623476,NA
Milwaukee Bucks v San Antonio Spurs,Milwaukee Bucks,San Antonio Spurs,Ousmane Dieng,Milwaukee Bucks,San Antonio Spurs,Player Assists,3.5,1.9,NA,TAB,623477,NA
Milwaukee Bucks v San Antonio Spurs,Milwaukee Bucks,San Antonio Spurs,Victor Wembanyama,San Antonio Spurs,Milwaukee Bucks,Player Assists,3.5,2.3,NA,TAB,623478,NA
Milwaukee Bucks v San Antonio Spurs,Milwaukee Bucks,San Antonio Spurs,Devin Vassell,San Antonio Spurs,Milwaukee Bucks,Player Assists,3.5,2.9,NA,TAB,623479,NA
Milwaukee Bucks v San Antonio Spurs,Milwaukee Bucks,San Antonio Spurs,Stephon Castle,San Antonio Spurs,Milwaukee Bucks,Player Assists,5.5,1.3,NA,TAB,623490,NA
Milwaukee Bucks v San Antonio Spurs,Milwaukee Bucks,San Antonio Spurs,Ryan Rollins,Milwaukee Bucks,San Antonio Spurs,Player Assists,5.5,1.52,NA,TAB,623491,NA
Milwaukee Bucks v San Antonio Spurs,Milwaukee Bucks,San Antonio Spurs,DeAaron Fox,NA,NA,Player Assists,5.5,1.72,NA,TAB,623492,NA
Milwaukee Bucks v San Antonio Spurs,Milwaukee Bucks,San Antonio Spurs,Ousmane Dieng,Milwaukee Bucks,San Antonio Spurs,Player Assists,5.5,4.25,NA,TAB,623493,NA
Milwaukee Bucks v San Antonio Spurs,Milwaukee Bucks,San Antonio Spurs,Victor Wembanyama,San Antonio Spurs,Milwaukee Bucks,Player Assists,5.5,7,NA,TAB,623494,NA
Milwaukee Bucks v San Antonio Spurs,Milwaukee Bucks,San Antonio Spurs,Stephon Castle,San Antonio Spurs,Milwaukee Bucks,Player Assists,7.5,1.95,NA,TAB,623506,NA
Milwaukee Bucks v San Antonio Spurs,Milwaukee Bucks,San Antonio Spurs,Ryan Rollins,Milwaukee Bucks,San Antonio Spurs,Player Assists,7.5,2.5,NA,TAB,623507,NA
Milwaukee Bucks v San Antonio Spurs,Milwaukee Bucks,San Antonio Spurs,DeAaron Fox,NA,NA,Player Assists,7.5,3.2,NA,TAB,623508,NA
Milwaukee Bucks v San Antonio Spurs,Milwaukee Bucks,San Antonio Spurs,Stephon Castle,San Antonio Spurs,Milwaukee Bucks,Player Assists,9.5,3.5,NA,TAB,623514,NA
Milwaukee Bucks v San Antonio Spurs,Milwaukee Bucks,San Antonio Spurs,Ryan Rollins,Milwaukee Bucks,San Antonio Spurs,Player Assists,9.5,4.5,NA,TAB,623515,NA
Milwaukee Bucks v San Antonio Spurs,Milwaukee Bucks,San Antonio Spurs,DeAaron Fox,NA,NA,Player Assists,9.5,7.5,NA,TAB,623516,NA
Milwaukee Bucks v San Antonio Spurs,Milwaukee Bucks,San Antonio Spurs,Stephon Castle,San Antonio Spurs,Milwaukee Bucks,Player Assists,11.5,8.5,NA,TAB,623522,NA
Minnesota Timberwolves v Detroit Pistons,Minnesota Timberwolves,Detroit Pistons,Bones Hyland,Minnesota Timberwolves,Detroit Pistons,Player Assists,1.5,1.06,NA,TAB,625638,NA
Minnesota Timberwolves v Detroit Pistons,Minnesota Timberwolves,Detroit Pistons,Donte DiVincenzo,Minnesota Timberwolves,Detroit Pistons,Player Assists,1.5,1.15,NA,TAB,625632,NA
Minnesota Timberwolves v Detroit Pistons,Minnesota Timberwolves,Detroit Pistons,Naz Reid,Minnesota Timberwolves,Detroit Pistons,Player Assists,1.5,1.62,NA,TAB,625645,NA
Minnesota Timberwolves v Detroit Pistons,Minnesota Timberwolves,Detroit Pistons,Jalen Duren,Detroit Pistons,Minnesota Timberwolves,Player Assists,1.5,1.65,NA,TAB,625636,NA
Minnesota Timberwolves v Detroit Pistons,Minnesota Timberwolves,Detroit Pistons,Rudy Gobert,Minnesota Timberwolves,Detroit Pistons,Player Assists,1.5,2,NA,TAB,625637,NA
Minnesota Timberwolves v Detroit Pistons,Minnesota Timberwolves,Detroit Pistons,Daniss Jenkins,Detroit Pistons,Minnesota Timberwolves,Player Assists,3.5,1.03,NA,TAB,625647,NA
Minnesota Timberwolves v Detroit Pistons,Minnesota Timberwolves,Detroit Pistons,Julius Randle,Minnesota Timberwolves,Detroit Pistons,Player Assists,3.5,1.36,NA,TAB,625648,NA
Minnesota Timberwolves v Detroit Pistons,Minnesota Timberwolves,Detroit Pistons,Bones Hyland,Minnesota Timberwolves,Detroit Pistons,Player Assists,3.5,1.62,NA,TAB,625657,NA
Minnesota Timberwolves v Detroit Pistons,Minnesota Timberwolves,Detroit Pistons,Donte DiVincenzo,Minnesota Timberwolves,Detroit Pistons,Player Assists,3.5,2.05,NA,TAB,625651,NA
Minnesota Timberwolves v Detroit Pistons,Minnesota Timberwolves,Detroit Pistons,Tobias Harris,Detroit Pistons,Minnesota Timberwolves,Player Assists,3.5,2.5,NA,TAB,625653,NA
Minnesota Timberwolves v Detroit Pistons,Minnesota Timberwolves,Detroit Pistons,Ausar Thompson,Detroit Pistons,Minnesota Timberwolves,Player Assists,3.5,2.5,NA,TAB,625652,NA
Minnesota Timberwolves v Detroit Pistons,Minnesota Timberwolves,Detroit Pistons,Duncan Robinson,Detroit Pistons,Minnesota Timberwolves,Player Assists,3.5,2.7,NA,TAB,625654,NA
Minnesota Timberwolves v Detroit Pistons,Minnesota Timberwolves,Detroit Pistons,Rudy Gobert,Minnesota Timberwolves,Detroit Pistons,Player Assists,3.5,9,NA,TAB,625656,NA
Minnesota Timberwolves v Detroit Pistons,Minnesota Timberwolves,Detroit Pistons,Daniss Jenkins,Detroit Pistons,Minnesota Timberwolves,Player Assists,5.5,1.32,NA,TAB,625663,NA
Minnesota Timberwolves v Detroit Pistons,Minnesota Timberwolves,Detroit Pistons,Julius Randle,Minnesota Timberwolves,Detroit Pistons,Player Assists,5.5,2.4,NA,TAB,625664,NA
Minnesota Timberwolves v Detroit Pistons,Minnesota Timberwolves,Detroit Pistons,Ayo Dosunmu,Minnesota Timberwolves,Detroit Pistons,Player Assists,5.5,2.4,NA,TAB,625665,NA
Minnesota Timberwolves v Detroit Pistons,Minnesota Timberwolves,Detroit Pistons,Bones Hyland,Minnesota Timberwolves,Detroit Pistons,Player Assists,5.5,3.2,NA,TAB,625671,NA
Minnesota Timberwolves v Detroit Pistons,Minnesota Timberwolves,Detroit Pistons,Donte DiVincenzo,Minnesota Timberwolves,Detroit Pistons,Player Assists,5.5,5.25,NA,TAB,625667,NA
Minnesota Timberwolves v Detroit Pistons,Minnesota Timberwolves,Detroit Pistons,Daniss Jenkins,Detroit Pistons,Minnesota Timberwolves,Player Assists,7.5,2,NA,TAB,625679,NA
Minnesota Timberwolves v Detroit Pistons,Minnesota Timberwolves,Detroit Pistons,Julius Randle,Minnesota Timberwolves,Detroit Pistons,Player Assists,7.5,5.5,NA,TAB,625680,NA
Minnesota Timberwolves v Detroit Pistons,Minnesota Timberwolves,Detroit Pistons,Bones Hyland,Minnesota Timberwolves,Detroit Pistons,Player Assists,7.5,8.5,NA,TAB,625682,NA
Minnesota Timberwolves v Detroit Pistons,Minnesota Timberwolves,Detroit Pistons,Daniss Jenkins,Detroit Pistons,Minnesota Timberwolves,Player Assists,9.5,3.75,NA,TAB,625687,NA
Minnesota Timberwolves v Detroit Pistons,Minnesota Timberwolves,Detroit Pistons,Daniss Jenkins,Detroit Pistons,Minnesota Timberwolves,Player Assists,11.5,9,NA,TAB,625695,NA
Charlotte Hornets v Philadelphia 76ers,Charlotte Hornets,Philadelphia 76ers,Joel Embiid,Philadelphia 76ers,Charlotte Hornets,Player Assists,1.5,1.05,NA,TAB,624181,NA
Charlotte Hornets v Philadelphia 76ers,Charlotte Hornets,Philadelphia 76ers,Brandon Miller,Charlotte Hornets,Philadelphia 76ers,Player Assists,1.5,1.08,NA,TAB,624182,NA
Charlotte Hornets v Philadelphia 76ers,Charlotte Hornets,Philadelphia 76ers,Paul George,Philadelphia 76ers,Charlotte Hornets,Player Assists,1.5,1.08,NA,TAB,624183,NA
Charlotte Hornets v Philadelphia 76ers,Charlotte Hornets,Philadelphia 76ers,VJ Edgecombe,Philadelphia 76ers,Charlotte Hornets,Player Assists,1.5,1.08,NA,TAB,624185,NA
Charlotte Hornets v Philadelphia 76ers,Charlotte Hornets,Philadelphia 76ers,Kon Knueppel,Charlotte Hornets,Philadelphia 76ers,Player Assists,1.5,1.08,NA,TAB,624184,NA
Charlotte Hornets v Philadelphia 76ers,Charlotte Hornets,Philadelphia 76ers,Coby White,Charlotte Hornets,Philadelphia 76ers,Player Assists,1.5,1.15,NA,TAB,624189,NA
Charlotte Hornets v Philadelphia 76ers,Charlotte Hornets,Philadelphia 76ers,Miles Bridges,Charlotte Hornets,Philadelphia 76ers,Player Assists,1.5,1.25,NA,TAB,624186,NA
Charlotte Hornets v Philadelphia 76ers,Charlotte Hornets,Philadelphia 76ers,Moussa Diabate,NA,NA,Player Assists,1.5,1.58,NA,TAB,624187,NA
Charlotte Hornets v Philadelphia 76ers,Charlotte Hornets,Philadelphia 76ers,Kelly Oubre Jr.,Philadelphia 76ers,Charlotte Hornets,Player Assists,1.5,1.85,NA,TAB,624188,NA
Charlotte Hornets v Philadelphia 76ers,Charlotte Hornets,Philadelphia 76ers,Sion James,Charlotte Hornets,Philadelphia 76ers,Player Assists,1.5,1.85,NA,TAB,624193,NA
Charlotte Hornets v Philadelphia 76ers,Charlotte Hornets,Philadelphia 76ers,LaMelo Ball,Charlotte Hornets,Philadelphia 76ers,Player Assists,3.5,1.04,NA,TAB,624197,NA
Charlotte Hornets v Philadelphia 76ers,Charlotte Hornets,Philadelphia 76ers,Joel Embiid,Philadelphia 76ers,Charlotte Hornets,Player Assists,3.5,1.58,NA,TAB,624199,NA
Charlotte Hornets v Philadelphia 76ers,Charlotte Hornets,Philadelphia 76ers,Paul George,Philadelphia 76ers,Charlotte Hornets,Player Assists,3.5,1.7,NA,TAB,624200,NA
Charlotte Hornets v Philadelphia 76ers,Charlotte Hornets,Philadelphia 76ers,Brandon Miller,Charlotte Hornets,Philadelphia 76ers,Player Assists,3.5,1.75,NA,TAB,624201,NA
Charlotte Hornets v Philadelphia 76ers,Charlotte Hornets,Philadelphia 76ers,VJ Edgecombe,Philadelphia 76ers,Charlotte Hornets,Player Assists,3.5,1.75,NA,TAB,624203,NA
Charlotte Hornets v Philadelphia 76ers,Charlotte Hornets,Philadelphia 76ers,Kon Knueppel,Charlotte Hornets,Philadelphia 76ers,Player Assists,3.5,1.85,NA,TAB,624202,NA
Charlotte Hornets v Philadelphia 76ers,Charlotte Hornets,Philadelphia 76ers,Coby White,Charlotte Hornets,Philadelphia 76ers,Player Assists,3.5,1.85,NA,TAB,624207,NA
Charlotte Hornets v Philadelphia 76ers,Charlotte Hornets,Philadelphia 76ers,Miles Bridges,Charlotte Hornets,Philadelphia 76ers,Player Assists,3.5,2.5,NA,TAB,624204,NA
Charlotte Hornets v Philadelphia 76ers,Charlotte Hornets,Philadelphia 76ers,Moussa Diabate,NA,NA,Player Assists,3.5,5,NA,TAB,624205,NA
Charlotte Hornets v Philadelphia 76ers,Charlotte Hornets,Philadelphia 76ers,Sion James,Charlotte Hornets,Philadelphia 76ers,Player Assists,3.5,6.5,NA,TAB,624211,NA
Charlotte Hornets v Philadelphia 76ers,Charlotte Hornets,Philadelphia 76ers,LaMelo Ball,Charlotte Hornets,Philadelphia 76ers,Player Assists,5.5,1.32,NA,TAB,624213,NA
Charlotte Hornets v Philadelphia 76ers,Charlotte Hornets,Philadelphia 76ers,Tyrese Maxey,Philadelphia 76ers,Charlotte Hornets,Player Assists,5.5,1.68,NA,TAB,624214,NA
Charlotte Hornets v Philadelphia 76ers,Charlotte Hornets,Philadelphia 76ers,Joel Embiid,Philadelphia 76ers,Charlotte Hornets,Player Assists,5.5,3.4,NA,TAB,624215,NA
Charlotte Hornets v Philadelphia 76ers,Charlotte Hornets,Philadelphia 76ers,Paul George,Philadelphia 76ers,Charlotte Hornets,Player Assists,5.5,3.5,NA,TAB,624216,NA
Charlotte Hornets v Philadelphia 76ers,Charlotte Hornets,Philadelphia 76ers,Brandon Miller,Charlotte Hornets,Philadelphia 76ers,Player Assists,5.5,3.75,NA,TAB,624217,NA
Charlotte Hornets v Philadelphia 76ers,Charlotte Hornets,Philadelphia 76ers,VJ Edgecombe,Philadelphia 76ers,Charlotte Hornets,Player Assists,5.5,3.75,NA,TAB,624218,NA
Charlotte Hornets v Philadelphia 76ers,Charlotte Hornets,Philadelphia 76ers,Coby White,Charlotte Hornets,Philadelphia 76ers,Player Assists,5.5,4,NA,TAB,624221,NA
Charlotte Hornets v Philadelphia 76ers,Charlotte Hornets,Philadelphia 76ers,Kon Knueppel,Charlotte Hornets,Philadelphia 76ers,Player Assists,5.5,4.5,NA,TAB,624219,NA
Charlotte Hornets v Philadelphia 76ers,Charlotte Hornets,Philadelphia 76ers,Miles Bridges,Charlotte Hornets,Philadelphia 76ers,Player Assists,5.5,9,NA,TAB,624220,NA
