match,home_team,away_team,player_name,player_team,opposition_team,market_name,line,over_price,under_price,agency,prop_id,under_prop_id
Miami Heat v Milwaukee Bucks,Miami Heat,Milwaukee Bucks,NA,NA,NA,Player Blocks,0.5,3.1,1.34,TAB,562978,562979
Miami Heat v Milwaukee Bucks,Miami Heat,Milwaukee Bucks,AJ Green,Milwaukee Bucks,Miami Heat,Player Blocks,0.5,5.5,1.13,TAB,562236,562237
Miami Heat v Milwaukee Bucks,Miami Heat,Milwaukee Bucks,Bobby Portis,Milwaukee Bucks,Miami Heat,Player Blocks,0.5,2,1.75,TAB,562246,562247
Miami Heat v Milwaukee Bucks,Miami Heat,Milwaukee Bucks,Bam Adebayo,Miami Heat,Milwaukee Bucks,Player Blocks,0.5,1.5,2.5,TAB,565698,565699
Miami Heat v Milwaukee Bucks,Miami Heat,Milwaukee Bucks,Brook Lopez,Milwaukee Bucks,Miami Heat,Player Blocks,2.5,2.35,1.55,TAB,565218,565219
Miami Heat v Milwaukee Bucks,Miami Heat,Milwaukee Bucks,Damian Lillard,Milwaukee Bucks,Miami Heat,Player Blocks,0.5,3.7,1.25,TAB,563281,563282
Miami Heat v Milwaukee Bucks,Miami Heat,Milwaukee Bucks,Duncan Robinson,Miami Heat,Milwaukee Bucks,Player Blocks,0.5,4.6,1.17,TAB,574694,574695
Miami Heat v Milwaukee Bucks,Miami Heat,Milwaukee Bucks,Delon Wright,Milwaukee Bucks,Miami Heat,Player Blocks,0.5,3.3,1.3,TAB,594320,594321
Miami Heat v Milwaukee Bucks,Miami Heat,Milwaukee Bucks,NA,NA,NA,Player Blocks,0.5,6.2,1.1,TAB,562345,562346
Miami Heat v Milwaukee Bucks,Miami Heat,Milwaukee Bucks,Haywood Highsmith,Miami Heat,Milwaukee Bucks,Player Blocks,0.5,2.55,1.48,TAB,574388,574389
Miami Heat v Milwaukee Bucks,Miami Heat,Milwaukee Bucks,Jimmy Butler,Miami Heat,Milwaukee Bucks,Player Blocks,0.5,3,1.36,TAB,563382,563383
Miami Heat v Milwaukee Bucks,Miami Heat,Milwaukee Bucks,NA,NA,NA,Player Blocks,0.5,4.5,1.18,TAB,574530,574531
Miami Heat v Milwaukee Bucks,Miami Heat,Milwaukee Bucks,Taurean Prince,Milwaukee Bucks,Miami Heat,Player Blocks,0.5,3.6,1.26,TAB,562426,562427
Miami Heat v Milwaukee Bucks,Miami Heat,Milwaukee Bucks,Terry Rozier,Miami Heat,Milwaukee Bucks,Player Blocks,0.5,3.5,1.27,TAB,562815,562816
Miami Heat v Milwaukee Bucks,Miami Heat,Milwaukee Bucks,Tyler Herro,Miami Heat,Milwaukee Bucks,Player Blocks,0.5,5.5,1.13,TAB,566598,566599
