match,home_team,away_team,player_name,player_team,opposition_team,market_name,line,over_price,under_price,agency,prop_id,under_prop_id
Houston Rockets v Dallas Mavericks,Houston Rockets,Dallas Mavericks,Alperen Sengun,Houston Rockets,Dallas Mavericks,Player Points,21.5,1.9,1.85,TAB,554773,554774
Houston Rockets v Dallas Mavericks,Houston Rockets,Dallas Mavericks,Amen Thompson,Houston Rockets,Dallas Mavericks,Player Points,16.5,1.85,1.9,TAB,553629,553742
Houston Rockets v Dallas Mavericks,Houston Rockets,Dallas Mavericks,Brandon Williams,Dallas Mavericks,Houston Rockets,Player Points,8.5,1.8,1.95,TAB,602528,602530
Houston Rockets v Dallas Mavericks,Houston Rockets,Dallas Mavericks,Clint Capela,Houston Rockets,Dallas Mavericks,Player Points,5.5,1.85,1.9,TAB,607874,607875
Houston Rockets v Dallas Mavericks,Houston Rockets,Dallas Mavericks,Cooper Flagg,Dallas Mavericks,Houston Rockets,Player Points,15.5,1.87,1.87,TAB,554562,554571
Houston Rockets v Dallas Mavericks,Houston Rockets,Dallas Mavericks,D'Angelo Russell,Dallas Mavericks,Houston Rockets,Player Points,14.5,1.8,1.95,TAB,554992,554993
Houston Rockets v Dallas Mavericks,Houston Rockets,Dallas Mavericks,Daniel Gafford,Dallas Mavericks,Houston Rockets,Player Points,8.5,2,1.75,TAB,554906,554907
Houston Rockets v Dallas Mavericks,Houston Rockets,Dallas Mavericks,Josh Okogie,Houston Rockets,Dallas Mavericks,Player Points,8.5,1.8,1.95,TAB,554967,554968
Houston Rockets v Dallas Mavericks,Houston Rockets,Dallas Mavericks,Kevin Durant,Houston Rockets,Dallas Mavericks,Player Points,25.5,1.8,1.95,TAB,555005,555006
Houston Rockets v Dallas Mavericks,Houston Rockets,Dallas Mavericks,Klay Thompson,Dallas Mavericks,Houston Rockets,Player Points,11.5,1.95,1.8,TAB,553288,553289
Houston Rockets v Dallas Mavericks,Houston Rockets,Dallas Mavericks,Max Christie,Dallas Mavericks,Houston Rockets,Player Points,10.5,1.75,2,TAB,554876,554877
Houston Rockets v Dallas Mavericks,Houston Rockets,Dallas Mavericks,Naji Marshall,Dallas Mavericks,Houston Rockets,Player Points,8.5,1.75,2,TAB,554982,554983
