match,home_team,away_team,player_name,player_team,opposition_team,market_name,line,over_price,under_price,agency,prop_id,under_prop_id
Denver Nuggets v Orlando Magic,Denver Nuggets,Orlando Magic,Anthony Black,Orlando Magic,Denver Nuggets,Player PRAs,26.5,1.95,1.8,TAB,634628,634629
Denver Nuggets v Orlando Magic,Denver Nuggets,Orlando Magic,NA,NA,NA,Player PRAs,15.5,1.87,1.87,TAB,634380,634381
Denver Nuggets v Orlando Magic,Denver Nuggets,Orlando Magic,Cameron Johnson,Denver Nuggets,Orlando Magic,Player PRAs,21.5,1.9,1.85,TAB,634362,634363
Denver Nuggets v Orlando Magic,Denver Nuggets,Orlando Magic,Desmond Bane,Orlando Magic,Denver Nuggets,Player PRAs,31.5,1.85,1.9,TAB,634334,634335
Denver Nuggets v Orlando Magic,Denver Nuggets,Orlando Magic,Goga Bitadze,Orlando Magic,Denver Nuggets,Player PRAs,12.5,1.8,1.95,TAB,634810,634811
Denver Nuggets v Orlando Magic,Denver Nuggets,Orlando Magic,Jett Howard,Orlando Magic,Denver Nuggets,Player PRAs,15.5,1.95,1.8,TAB,635128,635129
Denver Nuggets v Orlando Magic,Denver Nuggets,Orlando Magic,Jamal Murray,Denver Nuggets,Orlando Magic,Player PRAs,36.5,1.87,1.87,TAB,633752,633753
Denver Nuggets v Orlando Magic,Denver Nuggets,Orlando Magic,NA,NA,NA,Player PRAs,13.5,1.8,1.95,TAB,634180,634181
Denver Nuggets v Orlando Magic,Denver Nuggets,Orlando Magic,NA,NA,NA,Player PRAs,53.5,1.9,1.85,TAB,634600,634601
Denver Nuggets v Orlando Magic,Denver Nuggets,Orlando Magic,Paolo Banchero,Orlando Magic,Denver Nuggets,Player PRAs,36.5,1.85,1.9,TAB,634116,634117
Denver Nuggets v Orlando Magic,Denver Nuggets,Orlando Magic,NA,NA,NA,Player PRAs,16.5,1.87,1.87,TAB,633852,633853
Denver Nuggets v Orlando Magic,Denver Nuggets,Orlando Magic,Tyus Jones,Orlando Magic,Denver Nuggets,Player PRAs,13.5,1.95,1.8,TAB,642809,642810
Denver Nuggets v Orlando Magic,Denver Nuggets,Orlando Magic,NA,NA,NA,Player PRAs,14.5,1.95,1.8,TAB,633932,633933
Denver Nuggets v Orlando Magic,Denver Nuggets,Orlando Magic,NA,NA,NA,Player PRAs,22.5,1.85,1.9,TAB,634904,634905
Phoenix Suns v Golden State Warriors,Phoenix Suns,Golden State Warriors,Brandin Podziemski,Golden State Warriors,Phoenix Suns,Player PRAs,18.5,1.95,1.8,TAB,629347,629348
Phoenix Suns v Golden State Warriors,Phoenix Suns,Golden State Warriors,Buddy Hield,Golden State Warriors,Phoenix Suns,Player PRAs,10.5,1.8,1.95,TAB,629249,629250
Phoenix Suns v Golden State Warriors,Phoenix Suns,Golden State Warriors,Collin Gillespie,Phoenix Suns,Golden State Warriors,Player PRAs,23.5,1.85,1.9,TAB,629567,629568
Phoenix Suns v Golden State Warriors,Phoenix Suns,Golden State Warriors,Devin Booker,Phoenix Suns,Golden State Warriors,Player PRAs,36.5,1.95,1.8,TAB,629403,629404
Phoenix Suns v Golden State Warriors,Phoenix Suns,Golden State Warriors,Dillon Brooks,Phoenix Suns,Golden State Warriors,Player PRAs,23.5,1.85,1.9,TAB,630165,630166
Phoenix Suns v Golden State Warriors,Phoenix Suns,Golden State Warriors,De'Anthony Melton,Golden State Warriors,Phoenix Suns,Player PRAs,11.5,1.9,1.85,TAB,629307,629308
Phoenix Suns v Golden State Warriors,Phoenix Suns,Golden State Warriors,Draymond Green,Golden State Warriors,Phoenix Suns,Player PRAs,20.5,1.9,1.85,TAB,628807,628808
Phoenix Suns v Golden State Warriors,Phoenix Suns,Golden State Warriors,Jimmy Butler III,Golden State Warriors,Phoenix Suns,Player PRAs,30.5,1.9,1.85,TAB,629017,629018
Phoenix Suns v Golden State Warriors,Phoenix Suns,Golden State Warriors,Jordan Goodwin,Phoenix Suns,Golden State Warriors,Player PRAs,17.5,1.9,1.85,TAB,633032,633033
Phoenix Suns v Golden State Warriors,Phoenix Suns,Golden State Warriors,Moses Moody,Golden State Warriors,Phoenix Suns,Player PRAs,14.5,1.9,1.85,TAB,630005,630006
Phoenix Suns v Golden State Warriors,Phoenix Suns,Golden State Warriors,Mark Williams,Phoenix Suns,Golden State Warriors,Player PRAs,22.5,1.87,1.87,TAB,630921,630922
Phoenix Suns v Golden State Warriors,Phoenix Suns,Golden State Warriors,Oso Ighodaro,Phoenix Suns,Golden State Warriors,Player PRAs,12.5,1.9,1.85,TAB,629321,629322
Phoenix Suns v Golden State Warriors,Phoenix Suns,Golden State Warriors,Quinten Post,Golden State Warriors,Phoenix Suns,Player PRAs,15.5,1.9,1.85,TAB,630105,630106
Phoenix Suns v Golden State Warriors,Phoenix Suns,Golden State Warriors,Royce O'Neale,Phoenix Suns,Golden State Warriors,Player PRAs,17.5,1.85,1.9,TAB,629797,629798
