match,home_team,away_team,player_name,player_team,opposition_team,market_name,line,over_price,under_price,agency,prop_id,under_prop_id
Chicago Bulls v Portland Trail Blazers,Chicago Bulls,Portland Trail Blazers,Coby White,Chicago Bulls,Portland Trail Blazers,Player Rebounds,3.5,1.72,2.05,TAB,616145,616147
Chicago Bulls v Portland Trail Blazers,Chicago Bulls,Portland Trail Blazers,Deni Avdija,Portland Trail Blazers,Chicago Bulls,Player Rebounds,9.5,2.15,1.65,TAB,616503,616505
Chicago Bulls v Portland Trail Blazers,Chicago Bulls,Portland Trail Blazers,Dalano Banton,Portland Trail Blazers,Chicago Bulls,Player Rebounds,4.5,2.3,1.58,TAB,635533,635535
Chicago Bulls v Portland Trail Blazers,Chicago Bulls,Portland Trail Blazers,Donovan Clingan,Portland Trail Blazers,Chicago Bulls,Player Rebounds,9.5,1.8,1.95,TAB,615547,615548
Chicago Bulls v Portland Trail Blazers,Chicago Bulls,Portland Trail Blazers,Dalen Terry,Chicago Bulls,Portland Trail Blazers,Player Rebounds,3.5,2.5,1.5,TAB,661508,661509
Chicago Bulls v Portland Trail Blazers,Chicago Bulls,Portland Trail Blazers,Josh Giddey,Chicago Bulls,Portland Trail Blazers,Player Rebounds,8.5,2.1,1.68,TAB,616130,616132
Chicago Bulls v Portland Trail Blazers,Chicago Bulls,Portland Trail Blazers,NA,NA,NA,Player Rebounds,5.5,1.72,2.05,TAB,638571,638572
Chicago Bulls v Portland Trail Blazers,Chicago Bulls,Portland Trail Blazers,Kevin Huerter,Chicago Bulls,Portland Trail Blazers,Player Rebounds,3.5,1.75,2,TAB,616333,616335
Chicago Bulls v Portland Trail Blazers,Chicago Bulls,Portland Trail Blazers,NA,NA,NA,Player Rebounds,4.5,1.95,1.8,TAB,660613,660614
Chicago Bulls v Portland Trail Blazers,Chicago Bulls,Portland Trail Blazers,Matisse Thybulle,Portland Trail Blazers,Chicago Bulls,Player Rebounds,3.5,1.75,2,TAB,660451,660452
Chicago Bulls v Portland Trail Blazers,Chicago Bulls,Portland Trail Blazers,NA,NA,NA,Player Rebounds,9.5,1.9,1.85,TAB,616295,616297
Chicago Bulls v Portland Trail Blazers,Chicago Bulls,Portland Trail Blazers,Patrick Williams,Chicago Bulls,Portland Trail Blazers,Player Rebounds,3.5,2,1.75,TAB,616270,616272
Chicago Bulls v Portland Trail Blazers,Chicago Bulls,Portland Trail Blazers,Shaedon Sharpe,Portland Trail Blazers,Chicago Bulls,Player Rebounds,5.5,1.85,1.9,TAB,616117,616119
Chicago Bulls v Portland Trail Blazers,Chicago Bulls,Portland Trail Blazers,Zach Collins,Chicago Bulls,Portland Trail Blazers,Player Rebounds,5.5,2.35,1.55,TAB,616536,616538
Houston Rockets v Oklahoma City Thunder,Houston Rockets,Oklahoma City Thunder,Alex Caruso,Oklahoma City Thunder,Houston Rockets,Player Rebounds,2.5,1.95,1.8,TAB,616758,616760
Houston Rockets v Oklahoma City Thunder,Houston Rockets,Oklahoma City Thunder,Alperen Sengun,Houston Rockets,Oklahoma City Thunder,Player Rebounds,9.5,1.8,1.95,TAB,619512,619513
Houston Rockets v Oklahoma City Thunder,Houston Rockets,Oklahoma City Thunder,NA,NA,NA,Player Rebounds,3.5,2,1.75,TAB,616608,616610
Houston Rockets v Oklahoma City Thunder,Houston Rockets,Oklahoma City Thunder,NA,NA,NA,Player Rebounds,7.5,1.8,1.95,TAB,616716,616718
Houston Rockets v Oklahoma City Thunder,Houston Rockets,Oklahoma City Thunder,Chet Holmgren,Oklahoma City Thunder,Houston Rockets,Player Rebounds,7.5,1.85,1.9,TAB,620755,620756
Houston Rockets v Oklahoma City Thunder,Houston Rockets,Oklahoma City Thunder,Cason Wallace,Oklahoma City Thunder,Houston Rockets,Player Rebounds,3.5,2.3,1.58,TAB,616839,616840
Houston Rockets v Oklahoma City Thunder,Houston Rockets,Oklahoma City Thunder,Fred VanVleet,Houston Rockets,Oklahoma City Thunder,Player Rebounds,3.5,1.95,1.8,TAB,624244,624245
Houston Rockets v Oklahoma City Thunder,Houston Rockets,Oklahoma City Thunder,Shai Gilgeous-Alexander,Oklahoma City Thunder,Houston Rockets,Player Rebounds,4.5,1.87,1.87,TAB,616624,616627
Houston Rockets v Oklahoma City Thunder,Houston Rockets,Oklahoma City Thunder,NA,NA,NA,Player Rebounds,8.5,1.8,1.95,TAB,616791,616792
Houston Rockets v Oklahoma City Thunder,Houston Rockets,Oklahoma City Thunder,Jalen Smith,Chicago Bulls,NA,Player Rebounds,6.5,2.05,1.72,TAB,624208,624209
Houston Rockets v Oklahoma City Thunder,Houston Rockets,Oklahoma City Thunder,Jalen Williams,Oklahoma City Thunder,Houston Rockets,Player Rebounds,4.5,1.85,1.9,TAB,624352,624353
Houston Rockets v Oklahoma City Thunder,Houston Rockets,Oklahoma City Thunder,Javonte Green,New Orleans Pelicans,NA,Player Rebounds,4.5,1.9,1.85,TAB,619558,619559
Houston Rockets v Oklahoma City Thunder,Houston Rockets,Oklahoma City Thunder,Jalen Green,Houston Rockets,Oklahoma City Thunder,Player Rebounds,4.5,1.9,1.85,TAB,619558,619559
Houston Rockets v Oklahoma City Thunder,Houston Rockets,Oklahoma City Thunder,Luguentz Dort,Oklahoma City Thunder,Houston Rockets,Player Rebounds,3.5,1.87,1.87,TAB,619584,619585
Houston Rockets v Oklahoma City Thunder,Houston Rockets,Oklahoma City Thunder,Steven Adams,Houston Rockets,Oklahoma City Thunder,Player Rebounds,7.5,2,1.75,TAB,624326,624327
Houston Rockets v Oklahoma City Thunder,Houston Rockets,Oklahoma City Thunder,Tari Eason,Houston Rockets,Oklahoma City Thunder,Player Rebounds,5.5,1.8,1.95,TAB,624350,624351
San Antonio Spurs v Cleveland Cavaliers,San Antonio Spurs,Cleveland Cavaliers,Bismack Biyombo,San Antonio Spurs,Cleveland Cavaliers,Player Rebounds,6.5,2.15,1.65,TAB,633342,633343
San Antonio Spurs v Cleveland Cavaliers,San Antonio Spurs,Cleveland Cavaliers,Blake Wesley,San Antonio Spurs,Cleveland Cavaliers,Player Rebounds,2.5,2.3,1.58,TAB,632693,633311
San Antonio Spurs v Cleveland Cavaliers,San Antonio Spurs,Cleveland Cavaliers,Chris Paul,San Antonio Spurs,Cleveland Cavaliers,Player Rebounds,3.5,2.5,1.5,TAB,634606,634607
