match,home_team,away_team,player_name,player_team,opposition_team,market_name,line,over_price,under_price,agency,prop_id,under_prop_id
Cleveland Cavaliers v Houston Rockets,Cleveland Cavaliers,Houston Rockets,Amen Thompson,Houston Rockets,Cleveland Cavaliers,Player Steals,1.5,1.75,NA,TAB,617400,NA
Cleveland Cavaliers v Houston Rockets,Cleveland Cavaliers,Houston Rockets,Donovan Mitchell,Cleveland Cavaliers,Houston Rockets,Player Steals,1.5,1.95,NA,TAB,617395,NA
Cleveland Cavaliers v Houston Rockets,Cleveland Cavaliers,Houston Rockets,Josh Okogie,Houston Rockets,Cleveland Cavaliers,Player Steals,1.5,2.05,NA,TAB,617401,NA
Cleveland Cavaliers v Houston Rockets,Cleveland Cavaliers,Houston Rockets,Alperen Sengun,Houston Rockets,Cleveland Cavaliers,Player Steals,1.5,2.3,NA,TAB,617402,NA
Cleveland Cavaliers v Houston Rockets,Cleveland Cavaliers,Houston Rockets,Evan Mobley,Cleveland Cavaliers,Houston Rockets,Player Steals,1.5,2.8,NA,TAB,617396,NA
Cleveland Cavaliers v Houston Rockets,Cleveland Cavaliers,Houston Rockets,Jarrett Allen,Cleveland Cavaliers,Houston Rockets,Player Steals,1.5,2.8,NA,TAB,617397,NA
Cleveland Cavaliers v Houston Rockets,Cleveland Cavaliers,Houston Rockets,Kevin Durant,Houston Rockets,Cleveland Cavaliers,Player Steals,1.5,3,NA,TAB,617403,NA
Cleveland Cavaliers v Houston Rockets,Cleveland Cavaliers,Houston Rockets,De'Andre Hunter,Cleveland Cavaliers,Houston Rockets,Player Steals,1.5,3.5,NA,TAB,617398,NA
Cleveland Cavaliers v Houston Rockets,Cleveland Cavaliers,Houston Rockets,Amen Thompson,Houston Rockets,Cleveland Cavaliers,Player Steals,3.5,6,NA,TAB,617406,NA
Cleveland Cavaliers v Houston Rockets,Cleveland Cavaliers,Houston Rockets,Josh Okogie,Houston Rockets,Cleveland Cavaliers,Player Steals,3.5,8,NA,TAB,617407,NA
Cleveland Cavaliers v Houston Rockets,Cleveland Cavaliers,Houston Rockets,Donovan Mitchell,Cleveland Cavaliers,Houston Rockets,Player Steals,3.5,8.5,NA,TAB,617405,NA
Indiana Pacers v Charlotte Hornets,Indiana Pacers,Charlotte Hornets,Andrew Nembhard,Indiana Pacers,Charlotte Hornets,Player Steals,1.5,2.3,NA,TAB,618292,NA
Indiana Pacers v Charlotte Hornets,Indiana Pacers,Charlotte Hornets,Pascal Siakam,Indiana Pacers,Charlotte Hornets,Player Steals,1.5,2.4,NA,TAB,618293,NA
Indiana Pacers v Charlotte Hornets,Indiana Pacers,Charlotte Hornets,LaMelo Ball,Charlotte Hornets,Indiana Pacers,Player Steals,1.5,2.5,NA,TAB,618298,NA
Indiana Pacers v Charlotte Hornets,Indiana Pacers,Charlotte Hornets,Kon Knueppel,Charlotte Hornets,Indiana Pacers,Player Steals,1.5,3,NA,TAB,618297,NA
Indiana Pacers v Charlotte Hornets,Indiana Pacers,Charlotte Hornets,Miles Bridges,Charlotte Hornets,Indiana Pacers,Player Steals,1.5,3.5,NA,TAB,618299,NA
Indiana Pacers v Charlotte Hornets,Indiana Pacers,Charlotte Hornets,Jarace Walker,Indiana Pacers,Charlotte Hornets,Player Steals,1.5,3.6,NA,TAB,618294,NA
Indiana Pacers v Charlotte Hornets,Indiana Pacers,Charlotte Hornets,Ryan Kalkbrenner,Charlotte Hornets,Indiana Pacers,Player Steals,1.5,3.75,NA,TAB,618300,NA
Indiana Pacers v Charlotte Hornets,Indiana Pacers,Charlotte Hornets,Isaiah Jackson,Indiana Pacers,Charlotte Hornets,Player Steals,1.5,3.75,NA,TAB,618295,NA
Indiana Pacers v Charlotte Hornets,Indiana Pacers,Charlotte Hornets,Bennedict Mathurin,Indiana Pacers,Charlotte Hornets,Player Steals,1.5,4.25,NA,TAB,618296,NA
Indiana Pacers v Charlotte Hornets,Indiana Pacers,Charlotte Hornets,Sion James,Charlotte Hornets,Indiana Pacers,Player Steals,1.5,4.75,NA,TAB,618301,NA
Miami Heat v Golden State Warriors,Miami Heat,Golden State Warriors,Jimmy Butler III,Golden State Warriors,Miami Heat,Player Steals,1.5,1.9,NA,TAB,615408,NA
Miami Heat v Golden State Warriors,Miami Heat,Golden State Warriors,Stephen Curry,Golden State Warriors,Miami Heat,Player Steals,1.5,2.3,NA,TAB,615409,NA
Miami Heat v Golden State Warriors,Miami Heat,Golden State Warriors,Davion Mitchell,Miami Heat,Golden State Warriors,Player Steals,1.5,2.4,NA,TAB,615403,NA
Miami Heat v Golden State Warriors,Miami Heat,Golden State Warriors,Bam Adebayo,Miami Heat,Golden State Warriors,Player Steals,1.5,2.6,NA,TAB,615404,NA
Miami Heat v Golden State Warriors,Miami Heat,Golden State Warriors,Norman Powell,Miami Heat,Golden State Warriors,Player Steals,1.5,2.7,NA,TAB,615405,NA
Miami Heat v Golden State Warriors,Miami Heat,Golden State Warriors,Andrew Wiggins,Miami Heat,Golden State Warriors,Player Steals,1.5,2.7,NA,TAB,615406,NA
Philadelphia 76ers v Toronto Raptors,Philadelphia 76ers,Toronto Raptors,Tyrese Maxey,Philadelphia 76ers,Toronto Raptors,Player Steals,1.5,2.3,NA,TAB,619211,NA
Philadelphia 76ers v Toronto Raptors,Philadelphia 76ers,Toronto Raptors,Scottie Barnes,Toronto Raptors,Philadelphia 76ers,Player Steals,1.5,2.4,NA,TAB,619218,NA
Philadelphia 76ers v Toronto Raptors,Philadelphia 76ers,Toronto Raptors,VJ Edgecombe,Philadelphia 76ers,Toronto Raptors,Player Steals,1.5,2.5,NA,TAB,619212,NA
