match,home_team,away_team,player_name,player_team,opposition_team,market_name,line,over_price,under_price,agency,prop_id,under_prop_id
Memphis Grizzlies v Los Angeles Clippers,Memphis Grizzlies,Los Angeles Clippers,Bennedict Mathurin,Los Angeles Clippers,Memphis Grizzlies,Player Threes,1.5,2.25,1.6,TAB,676855,676856
Memphis Grizzlies v Los Angeles Clippers,Memphis Grizzlies,Los Angeles Clippers,Brook Lopez,Los Angeles Clippers,Memphis Grizzlies,Player Threes,1.5,1.95,1.8,TAB,677576,677577
Memphis Grizzlies v Los Angeles Clippers,Memphis Grizzlies,Los Angeles Clippers,Cam Spencer,Memphis Grizzlies,Los Angeles Clippers,Player Threes,1.5,2.1,1.68,TAB,677586,677587
Memphis Grizzlies v Los Angeles Clippers,Memphis Grizzlies,Los Angeles Clippers,Cedric Coward,Memphis Grizzlies,Los Angeles Clippers,Player Threes,1.5,2.55,1.48,TAB,678412,678413
Memphis Grizzlies v Los Angeles Clippers,Memphis Grizzlies,Los Angeles Clippers,Darius Garland,Los Angeles Clippers,Memphis Grizzlies,Player Threes,1.5,1.6,2.25,TAB,677906,677907
Memphis Grizzlies v Los Angeles Clippers,Memphis Grizzlies,Los Angeles Clippers,Derrick Jones Jr.,Los Angeles Clippers,Memphis Grizzlies,Player Threes,1.5,2.6,1.46,TAB,677806,677807
Memphis Grizzlies v Los Angeles Clippers,Memphis Grizzlies,Los Angeles Clippers,GG Jackson,Memphis Grizzlies,Los Angeles Clippers,Player Threes,1.5,2.5,1.5,TAB,676735,676736
Memphis Grizzlies v Los Angeles Clippers,Memphis Grizzlies,Los Angeles Clippers,Jaylen Wells,Memphis Grizzlies,Los Angeles Clippers,Player Threes,1.5,1.72,2.05,TAB,677516,677517
Memphis Grizzlies v Los Angeles Clippers,Memphis Grizzlies,Los Angeles Clippers,Kris Dunn,Los Angeles Clippers,Memphis Grizzlies,Player Threes,0.5,1.62,2.2,TAB,677958,677959
Memphis Grizzlies v Los Angeles Clippers,Memphis Grizzlies,Los Angeles Clippers,Kawhi Leonard,Los Angeles Clippers,Memphis Grizzlies,Player Threes,2.5,2,1.75,TAB,677322,677323
Memphis Grizzlies v Los Angeles Clippers,Memphis Grizzlies,Los Angeles Clippers,Kobe Sanders,Los Angeles Clippers,Memphis Grizzlies,Player Threes,1.5,3.1,1.34,TAB,677716,677717
Memphis Grizzlies v Los Angeles Clippers,Memphis Grizzlies,Los Angeles Clippers,NA,NA,NA,Player Threes,1.5,3.1,1.34,TAB,677786,677787
Memphis Grizzlies v Los Angeles Clippers,Memphis Grizzlies,Los Angeles Clippers,NA,NA,NA,Player Threes,1.5,3.1,1.38,TAB,677786,677056
Memphis Grizzlies v Los Angeles Clippers,Memphis Grizzlies,Los Angeles Clippers,NA,NA,NA,Player Threes,1.5,2.9,1.34,TAB,677055,677787
Memphis Grizzlies v Los Angeles Clippers,Memphis Grizzlies,Los Angeles Clippers,NA,NA,NA,Player Threes,1.5,2.9,1.38,TAB,677055,677056
Memphis Grizzlies v Los Angeles Clippers,Memphis Grizzlies,Los Angeles Clippers,Ty Jerome,Memphis Grizzlies,Los Angeles Clippers,Player Threes,2.5,2.1,1.68,TAB,677734,677735
Memphis Grizzlies v Los Angeles Clippers,Memphis Grizzlies,Los Angeles Clippers,Walter Clayton Jr.,Memphis Grizzlies,Los Angeles Clippers,Player Threes,1.5,3.2,1.32,TAB,676795,676796
Milwaukee Bucks v Utah Jazz,Milwaukee Bucks,Utah Jazz,AJ Green,Milwaukee Bucks,Utah Jazz,Player Threes,2.5,2.05,1.72,TAB,676083,676084
Milwaukee Bucks v Utah Jazz,Milwaukee Bucks,Utah Jazz,Ace Bailey,Utah Jazz,Milwaukee Bucks,Player Threes,2.5,2.4,1.53,TAB,676233,676234
Milwaukee Bucks v Utah Jazz,Milwaukee Bucks,Utah Jazz,Bobby Portis,Milwaukee Bucks,Utah Jazz,Player Threes,2.5,2.5,1.5,TAB,675739,675740
Milwaukee Bucks v Utah Jazz,Milwaukee Bucks,Utah Jazz,Brice Sensabaugh,Utah Jazz,Milwaukee Bucks,Player Threes,2.5,1.8,1.95,TAB,676313,676314
Milwaukee Bucks v Utah Jazz,Milwaukee Bucks,Utah Jazz,Cody Williams,Utah Jazz,Milwaukee Bucks,Player Threes,0.5,1.95,1.8,TAB,676537,676538
Milwaukee Bucks v Utah Jazz,Milwaukee Bucks,Utah Jazz,Cam Thomas,Milwaukee Bucks,Utah Jazz,Player Threes,1.5,2.05,1.72,TAB,676265,676266
Milwaukee Bucks v Utah Jazz,Milwaukee Bucks,Utah Jazz,NA,NA,NA,Player Threes,0.5,2.55,1.48,TAB,676407,676408
Milwaukee Bucks v Utah Jazz,Milwaukee Bucks,Utah Jazz,John Konchar,Utah Jazz,Milwaukee Bucks,Player Threes,0.5,1.52,2.45,TAB,676657,676658
Milwaukee Bucks v Utah Jazz,Milwaukee Bucks,Utah Jazz,Jericho Sims,Milwaukee Bucks,Utah Jazz,Player Threes,0.5,67,1.01,TAB,675807,675808
Milwaukee Bucks v Utah Jazz,Milwaukee Bucks,Utah Jazz,Kyle Filipowski,Utah Jazz,Milwaukee Bucks,Player Threes,1.5,3.1,1.34,TAB,676105,676106
Milwaukee Bucks v Utah Jazz,Milwaukee Bucks,Utah Jazz,Keyonte George,Utah Jazz,Milwaukee Bucks,Player Threes,2.5,1.75,2,TAB,676003,676004
Milwaukee Bucks v Utah Jazz,Milwaukee Bucks,Utah Jazz,Kyle Kuzma,Milwaukee Bucks,Utah Jazz,Player Threes,1.5,2,1.75,TAB,675985,675986
Milwaukee Bucks v Utah Jazz,Milwaukee Bucks,Utah Jazz,Myles Turner,Milwaukee Bucks,Utah Jazz,Player Threes,1.5,1.65,2.15,TAB,675689,675690
Milwaukee Bucks v Utah Jazz,Milwaukee Bucks,Utah Jazz,Ousmane Dieng,Milwaukee Bucks,Utah Jazz,Player Threes,2.5,2.65,1.45,TAB,676583,676584
Milwaukee Bucks v Utah Jazz,Milwaukee Bucks,Utah Jazz,Oscar Tshiebwe,Utah Jazz,Milwaukee Bucks,Player Threes,0.5,41,1.01,TAB,678038,678039
Milwaukee Bucks v Utah Jazz,Milwaukee Bucks,Utah Jazz,Ryan Rollins,Milwaukee Bucks,Utah Jazz,Player Threes,2.5,1.87,1.87,TAB,676373,676374
Oklahoma City Thunder v Golden State Warriors,Oklahoma City Thunder,Golden State Warriors,Isaiah Joe,Oklahoma City Thunder,Golden State Warriors,Player Threes,0.5,1.03,NA,TAB,698480,NA
Oklahoma City Thunder v Golden State Warriors,Oklahoma City Thunder,Golden State Warriors,Jaylin Williams,Oklahoma City Thunder,Golden State Warriors,Player Threes,0.5,1.06,NA,TAB,698494,NA
Oklahoma City Thunder v Golden State Warriors,Oklahoma City Thunder,Golden State Warriors,Luguentz Dort,Oklahoma City Thunder,Golden State Warriors,Player Threes,0.5,1.1,NA,TAB,698481,NA
Oklahoma City Thunder v Golden State Warriors,Oklahoma City Thunder,Golden State Warriors,Al Horford,Golden State Warriors,Oklahoma City Thunder,Player Threes,0.5,1.12,NA,TAB,698482,NA
