match,home_team,away_team,start_time,market_name,total_points_line,under_price,over_price,margin,agency
Philadelphia v New York,Philadelphia,New York,2025-01-16T00:10:00.000Z,Total Points Over/Under,219.5,1.95,1.85,1.053,TAB
Toronto v Boston,Toronto,Boston,2025-01-16T00:40:00.000Z,Total Points Over/Under,229.5,1.9,1.9,1.053,TAB
Chicago v Atlanta,Chicago,Atlanta,2025-01-16T01:10:00.000Z,Total Points Over/Under,235.5,1.9,1.9,1.053,TAB
Milwaukee v Orlando,Milwaukee,Orlando,2025-01-16T01:10:00.000Z,Total Points Over/Under,212.5,1.85,1.95,1.053,TAB
New Orleans v Dallas,New Orleans,Dallas,2025-01-16T01:10:00.000Z,Total Points Over/Under,220.5,1.95,1.85,1.053,TAB
San Antonio v Memphis,San Antonio,Memphis,2025-01-16T01:10:00.000Z,Total Points Over/Under,239.5,1.9,1.9,1.053,TAB
Denver v Houston,Denver,Houston,2025-01-16T02:10:00.000Z,Total Points Over/Under,229.5,1.9,1.9,1.053,TAB
Utah v Charlotte,Utah,Charlotte,2025-01-16T02:10:00.000Z,Total Points Over/Under,221.5,1.85,1.95,1.053,TAB
Minnesota v Golden State,Minnesota,Golden State,2025-01-16T02:40:00.000Z,Total Points Over/Under,215.5,1.95,1.85,1.053,TAB
LA Lakers v Miami,LA Lakers,Miami,2025-01-16T03:10:00.000Z,Total Points Over/Under,214.5,1.9,1.9,1.053,TAB
LA Clippers v Brooklyn,LA Clippers,Brooklyn,2025-01-16T03:40:00.000Z,Total Points Over/Under,213.5,1.9,1.9,1.053,TAB
Oklahoma City v Cleveland,Oklahoma City,Cleveland,2025-01-17T00:30:00.000Z,Total Points Over/Under,231.5,1.95,1.85,1.053,TAB
