match,start_time,market_name,home_team,home_win,away_team,away_win,margin,agency
Indiana Pacers v Brooklyn Nets,2025-01-07T11:35:00Z,Head To Head,Indiana Pacers,1.17,Brooklyn Nets,5.3,1.043,TopSport
Orlando Magic v New York Knicks,2025-01-07T11:35:00Z,Head To Head,Orlando Magic,5.2,New York Knicks,1.17,1.047,TopSport
Milwaukee Bucks v Toronto Raptors,2025-01-07T11:35:00Z,Head To Head,Milwaukee Bucks,1.4,Toronto Raptors,2.98,1.05,TopSport
San Antonio Spurs v Chicago Bulls,2025-01-07T12:05:00Z,Head To Head,San Antonio Spurs,1.67,Chicago Bulls,2.22,1.049,TopSport
Los Angeles Clippers v Minnesota Timberwolves,2025-01-07T12:05:00Z,Head To Head,Los Angeles Clippers,2.12,Minnesota Timberwolves,1.73,1.05,TopSport
Dallas Mavericks v Memphis Grizzlies,2025-01-07T12:10:00Z,Head To Head,Dallas Mavericks,2.64,Memphis Grizzlies,1.49,1.05,TopSport
Miami Heat v Sacramento Kings,2025-01-07T14:05:00Z,Head To Head,Miami Heat,2.18,Sacramento Kings,1.68,1.054,TopSport
Phoenix Suns v Charlotte Hornets,2025-01-08T11:05:00Z,Head To Head,Phoenix Suns,1.65,Charlotte Hornets,2.18,1.065,TopSport
Houston Rockets v Washington Wizards,2025-01-08T11:05:00Z,Head To Head,Houston Rockets,1.23,Washington Wizards,4,1.063,TopSport
Boston Celtics v Denver Nuggets,2025-01-08T14:05:00Z,Head To Head,Boston Celtics,1.48,Denver Nuggets,2.54,1.069,TopSport
