match,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,agency,opposition_team
Phoenix Suns v Memphis Grizzlies,Phoenix Suns,Memphis Grizzlies,Player Assists,Tyus Jones,Phoenix Suns,3.5,1.1,NA,TopSport,Memphis Grizzlies
Phoenix Suns v Memphis Grizzlies,Phoenix Suns,Memphis Grizzlies,Player Assists,Devin Booker,Phoenix Suns,3.5,1.12,NA,TopSport,Memphis Grizzlies
Phoenix Suns v Memphis Grizzlies,Phoenix Suns,Memphis Grizzlies,Player Assists,Desmond Bane,Memphis Grizzlies,3.5,1.25,NA,TopSport,Phoenix Suns
Phoenix Suns v Memphis Grizzlies,Phoenix Suns,Memphis Grizzlies,Player Assists,Kevin Durant,Phoenix Suns,3.5,1.46,NA,TopSport,Memphis Grizzlies
Phoenix Suns v Memphis Grizzlies,Phoenix Suns,Memphis Grizzlies,Player Assists,Ja Morant,Memphis Grizzlies,7.5,2,NA,TopSport,Phoenix Suns
Phoenix Suns v Memphis Grizzlies,Phoenix Suns,Memphis Grizzlies,Player Assists,Tyus Jones,Phoenix Suns,7.5,2.65,NA,TopSport,Memphis Grizzlies
Phoenix Suns v Memphis Grizzlies,Phoenix Suns,Memphis Grizzlies,Player Assists,Devin Booker,Phoenix Suns,7.5,3,NA,TopSport,Memphis Grizzlies
Phoenix Suns v Memphis Grizzlies,Phoenix Suns,Memphis Grizzlies,Player Assists,Desmond Bane,Memphis Grizzlies,7.5,4.5,NA,TopSport,Phoenix Suns
Phoenix Suns v Memphis Grizzlies,Phoenix Suns,Memphis Grizzlies,Player Assists,Kevin Durant,Phoenix Suns,7.5,8,NA,TopSport,Memphis Grizzlies
Phoenix Suns v Memphis Grizzlies,Phoenix Suns,Memphis Grizzlies,Player Assists,Ja Morant,Memphis Grizzlies,9.5,3.8,NA,TopSport,Phoenix Suns
Phoenix Suns v Memphis Grizzlies,Phoenix Suns,Memphis Grizzlies,Player Assists,Tyus Jones,Phoenix Suns,9.5,6,NA,TopSport,Memphis Grizzlies
Phoenix Suns v Memphis Grizzlies,Phoenix Suns,Memphis Grizzlies,Player Assists,Devin Booker,Phoenix Suns,9.5,6.5,NA,TopSport,Memphis Grizzlies
Phoenix Suns v Memphis Grizzlies,Phoenix Suns,Memphis Grizzlies,Player Assists,Ja Morant,Memphis Grizzlies,11.5,8,NA,TopSport,Phoenix Suns
Phoenix Suns v Memphis Grizzlies,Phoenix Suns,Memphis Grizzlies,Player Assists,Ja Morant,Memphis Grizzlies,7.5,2,1.75,TopSport,Phoenix Suns
Phoenix Suns v Memphis Grizzlies,Phoenix Suns,Memphis Grizzlies,Player Assists,Tyus Jones,Phoenix Suns,6.5,2.03,1.7,TopSport,Memphis Grizzlies
Phoenix Suns v Memphis Grizzlies,Phoenix Suns,Memphis Grizzlies,Player Assists,Desmond Bane,Memphis Grizzlies,5.5,2.15,1.67,TopSport,Phoenix Suns
Phoenix Suns v Memphis Grizzlies,Phoenix Suns,Memphis Grizzlies,Player Assists,Devin Booker,Phoenix Suns,6.5,2.1,1.67,TopSport,Memphis Grizzlies
Phoenix Suns v Memphis Grizzlies,Phoenix Suns,Memphis Grizzlies,Player Assists,Kevin Durant,Phoenix Suns,4.5,2.05,1.73,TopSport,Memphis Grizzlies
