match,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,agency,opposition_team
Orlando Magic v San Antonio Spurs,Orlando Magic,San Antonio Spurs,Player Points,Wendell Carter,NA,4.5,1.09,NA,TopSport,NA
Orlando Magic v San Antonio Spurs,Orlando Magic,San Antonio Spurs,Player Points,Harrison Barnes,San Antonio Spurs,4.5,1.14,NA,TopSport,Orlando Magic
Orlando Magic v San Antonio Spurs,Orlando Magic,San Antonio Spurs,Player Points,Jeremy Sochan,San Antonio Spurs,4.5,1.2,NA,TopSport,Orlando Magic
Orlando Magic v San Antonio Spurs,Orlando Magic,San Antonio Spurs,Player Points,Kentavious Caldwell-Pope,Orlando Magic,4.5,1.2,NA,TopSport,San Antonio Spurs
Orlando Magic v San Antonio Spurs,Orlando Magic,San Antonio Spurs,Player Points,Anthony Black,Orlando Magic,4.5,1.23,NA,TopSport,San Antonio Spurs
Orlando Magic v San Antonio Spurs,Orlando Magic,San Antonio Spurs,Player Points,Goga Bitadze,Orlando Magic,4.5,1.25,NA,TopSport,San Antonio Spurs
Orlando Magic v San Antonio Spurs,Orlando Magic,San Antonio Spurs,Player Points,Devin Vassell,San Antonio Spurs,9.5,1.17,NA,TopSport,Orlando Magic
Orlando Magic v San Antonio Spurs,Orlando Magic,San Antonio Spurs,Player Points,Cole Anthony,Orlando Magic,9.5,1.35,NA,TopSport,San Antonio Spurs
Orlando Magic v San Antonio Spurs,Orlando Magic,San Antonio Spurs,Player Points,Stephon Castle,San Antonio Spurs,9.5,1.42,NA,TopSport,Orlando Magic
Orlando Magic v San Antonio Spurs,Orlando Magic,San Antonio Spurs,Player Points,Wendell Carter,NA,9.5,1.83,NA,TopSport,NA
Orlando Magic v San Antonio Spurs,Orlando Magic,San Antonio Spurs,Player Points,Harrison Barnes,San Antonio Spurs,9.5,2.15,NA,TopSport,Orlando Magic
Orlando Magic v San Antonio Spurs,Orlando Magic,San Antonio Spurs,Player Points,Kentavious Caldwell-Pope,Orlando Magic,9.5,2.4,NA,TopSport,San Antonio Spurs
Orlando Magic v San Antonio Spurs,Orlando Magic,San Antonio Spurs,Player Points,Jeremy Sochan,San Antonio Spurs,9.5,2.45,NA,TopSport,Orlando Magic
Orlando Magic v San Antonio Spurs,Orlando Magic,San Antonio Spurs,Player Points,Anthony Black,Orlando Magic,9.5,2.75,NA,TopSport,San Antonio Spurs
Orlando Magic v San Antonio Spurs,Orlando Magic,San Antonio Spurs,Player Points,Goga Bitadze,Orlando Magic,9.5,2.8,NA,TopSport,San Antonio Spurs
Orlando Magic v San Antonio Spurs,Orlando Magic,San Antonio Spurs,Player Points,Chris Paul,San Antonio Spurs,9.5,2.85,NA,TopSport,Orlando Magic
Orlando Magic v San Antonio Spurs,Orlando Magic,San Antonio Spurs,Player Points,Victor Wembanyama,San Antonio Spurs,14.5,1.13,NA,TopSport,Orlando Magic
Orlando Magic v San Antonio Spurs,Orlando Magic,San Antonio Spurs,Player Points,Deaaron Fox,NA,14.5,1.17,NA,TopSport,NA
Orlando Magic v San Antonio Spurs,Orlando Magic,San Antonio Spurs,Player Points,Devin Vassell,San Antonio Spurs,14.5,1.8,NA,TopSport,Orlando Magic
Orlando Magic v San Antonio Spurs,Orlando Magic,San Antonio Spurs,Player Points,Cole Anthony,Orlando Magic,14.5,2.5,NA,TopSport,San Antonio Spurs
Orlando Magic v San Antonio Spurs,Orlando Magic,San Antonio Spurs,Player Points,Stephon Castle,San Antonio Spurs,14.5,2.75,NA,TopSport,Orlando Magic
Orlando Magic v San Antonio Spurs,Orlando Magic,San Antonio Spurs,Player Points,Wendell Carter,NA,14.5,4.75,NA,TopSport,NA
Orlando Magic v San Antonio Spurs,Orlando Magic,San Antonio Spurs,Player Points,Harrison Barnes,San Antonio Spurs,14.5,6,NA,TopSport,Orlando Magic
Orlando Magic v San Antonio Spurs,Orlando Magic,San Antonio Spurs,Player Points,Kentavious Caldwell-Pope,Orlando Magic,14.5,7,NA,TopSport,San Antonio Spurs
Orlando Magic v San Antonio Spurs,Orlando Magic,San Antonio Spurs,Player Points,Jeremy Sochan,San Antonio Spurs,14.5,7.5,NA,TopSport,Orlando Magic
Orlando Magic v San Antonio Spurs,Orlando Magic,San Antonio Spurs,Player Points,Franz Wagner,Orlando Magic,19.5,1.24,NA,TopSport,San Antonio Spurs
Orlando Magic v San Antonio Spurs,Orlando Magic,San Antonio Spurs,Player Points,Paolo Banchero,Orlando Magic,19.5,1.35,NA,TopSport,San Antonio Spurs
Orlando Magic v San Antonio Spurs,Orlando Magic,San Antonio Spurs,Player Points,Victor Wembanyama,San Antonio Spurs,19.5,1.45,NA,TopSport,Orlando Magic
Orlando Magic v San Antonio Spurs,Orlando Magic,San Antonio Spurs,Player Points,Deaaron Fox,NA,19.5,1.58,NA,TopSport,NA
Orlando Magic v San Antonio Spurs,Orlando Magic,San Antonio Spurs,Player Points,Devin Vassell,San Antonio Spurs,19.5,3.7,NA,TopSport,Orlando Magic
Orlando Magic v San Antonio Spurs,Orlando Magic,San Antonio Spurs,Player Points,Cole Anthony,Orlando Magic,19.5,6.5,NA,TopSport,San Antonio Spurs
Orlando Magic v San Antonio Spurs,Orlando Magic,San Antonio Spurs,Player Points,Franz Wagner,Orlando Magic,24.5,1.78,NA,TopSport,San Antonio Spurs
Orlando Magic v San Antonio Spurs,Orlando Magic,San Antonio Spurs,Player Points,Paolo Banchero,Orlando Magic,24.5,2.2,NA,TopSport,San Antonio Spurs
Orlando Magic v San Antonio Spurs,Orlando Magic,San Antonio Spurs,Player Points,Victor Wembanyama,San Antonio Spurs,24.5,2.4,NA,TopSport,Orlando Magic
Orlando Magic v San Antonio Spurs,Orlando Magic,San Antonio Spurs,Player Points,Deaaron Fox,NA,24.5,2.85,NA,TopSport,NA
Orlando Magic v San Antonio Spurs,Orlando Magic,San Antonio Spurs,Player Points,Devin Vassell,San Antonio Spurs,24.5,9,NA,TopSport,Orlando Magic
Orlando Magic v San Antonio Spurs,Orlando Magic,San Antonio Spurs,Player Points,Franz Wagner,Orlando Magic,29.5,3.1,NA,TopSport,San Antonio Spurs
Orlando Magic v San Antonio Spurs,Orlando Magic,San Antonio Spurs,Player Points,Paolo Banchero,Orlando Magic,29.5,4.25,NA,TopSport,San Antonio Spurs
Orlando Magic v San Antonio Spurs,Orlando Magic,San Antonio Spurs,Player Points,Victor Wembanyama,San Antonio Spurs,29.5,4.75,NA,TopSport,Orlando Magic
Orlando Magic v San Antonio Spurs,Orlando Magic,San Antonio Spurs,Player Points,Deaaron Fox,NA,29.5,6.5,NA,TopSport,NA
Orlando Magic v San Antonio Spurs,Orlando Magic,San Antonio Spurs,Player Points,Franz Wagner,Orlando Magic,34.5,6.5,NA,TopSport,San Antonio Spurs
Orlando Magic v San Antonio Spurs,Orlando Magic,San Antonio Spurs,Player Points,Paolo Banchero,Orlando Magic,34.5,10,NA,TopSport,San Antonio Spurs
Orlando Magic v San Antonio Spurs,Orlando Magic,San Antonio Spurs,Player Points,Victor Wembanyama,San Antonio Spurs,34.5,11,NA,TopSport,Orlando Magic
Orlando Magic v San Antonio Spurs,Orlando Magic,San Antonio Spurs,Player Points,Deaaron Fox,NA,34.5,15,NA,TopSport,NA
Washington Wizards v Atlanta Hawks,Washington Wizards,Atlanta Hawks,Player Points,Richaun Holmes,Washington Wizards,4.5,1.06,NA,TopSport,Atlanta Hawks
