match,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,agency,opposition_team
Boston Celtics v Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Player Rebounds,Jaylen Brown,Boston Celtics,1.5,1.01,NA,TopSport,Cleveland Cavaliers
Boston Celtics v Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Player Rebounds,Al Horford,Boston Celtics,1.5,1.02,NA,TopSport,Cleveland Cavaliers
Boston Celtics v Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Player Rebounds,Derrick White,Boston Celtics,1.5,1.07,NA,TopSport,Cleveland Cavaliers
Boston Celtics v Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Player Rebounds,Donovan Mitchell,Cleveland Cavaliers,1.5,1.07,NA,TopSport,Boston Celtics
Boston Celtics v Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Player Rebounds,Jrue Holiday,Boston Celtics,1.5,1.08,NA,TopSport,Cleveland Cavaliers
Boston Celtics v Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Player Rebounds,Darius Garland,Cleveland Cavaliers,1.5,1.22,NA,TopSport,Boston Celtics
Boston Celtics v Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Player Rebounds,Payton Pritchard,Boston Celtics,1.5,1.25,NA,TopSport,Cleveland Cavaliers
Boston Celtics v Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Player Rebounds,Evan Mobley,Cleveland Cavaliers,3.5,1.02,NA,TopSport,Boston Celtics
Boston Celtics v Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Player Rebounds,Jayson Tatum,Boston Celtics,3.5,1.04,NA,TopSport,Cleveland Cavaliers
Boston Celtics v Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Player Rebounds,Jaylen Brown,Boston Celtics,3.5,1.19,NA,TopSport,Cleveland Cavaliers
Boston Celtics v Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Player Rebounds,Al Horford,Boston Celtics,3.5,1.2,NA,TopSport,Cleveland Cavaliers
Boston Celtics v Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Player Rebounds,Derrick White,Boston Celtics,3.5,1.5,NA,TopSport,Cleveland Cavaliers
Boston Celtics v Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Player Rebounds,Donovan Mitchell,Cleveland Cavaliers,3.5,1.5,NA,TopSport,Boston Celtics
Boston Celtics v Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Player Rebounds,Jrue Holiday,Boston Celtics,3.5,1.62,NA,TopSport,Cleveland Cavaliers
Boston Celtics v Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Player Rebounds,Darius Garland,Cleveland Cavaliers,3.5,2.3,NA,TopSport,Boston Celtics
Boston Celtics v Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Player Rebounds,Payton Pritchard,Boston Celtics,3.5,2.4,NA,TopSport,Cleveland Cavaliers
Boston Celtics v Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Player Rebounds,Jarrett Allen,Cleveland Cavaliers,5.5,1.05,NA,TopSport,Boston Celtics
Boston Celtics v Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Player Rebounds,Evan Mobley,Cleveland Cavaliers,5.5,1.1,NA,TopSport,Boston Celtics
Boston Celtics v Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Player Rebounds,Jayson Tatum,Boston Celtics,5.5,1.17,NA,TopSport,Cleveland Cavaliers
Boston Celtics v Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Player Rebounds,Jaylen Brown,Boston Celtics,5.5,1.8,NA,TopSport,Cleveland Cavaliers
Boston Celtics v Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Player Rebounds,Al Horford,Boston Celtics,5.5,1.83,NA,TopSport,Cleveland Cavaliers
Boston Celtics v Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Player Rebounds,Donovan Mitchell,Cleveland Cavaliers,5.5,2.5,NA,TopSport,Boston Celtics
Boston Celtics v Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Player Rebounds,Derrick White,Boston Celtics,5.5,2.7,NA,TopSport,Cleveland Cavaliers
Boston Celtics v Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Player Rebounds,Jrue Holiday,Boston Celtics,5.5,3.1,NA,TopSport,Cleveland Cavaliers
Boston Celtics v Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Player Rebounds,Darius Garland,Cleveland Cavaliers,5.5,6.5,NA,TopSport,Boston Celtics
Boston Celtics v Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Player Rebounds,Jarrett Allen,Cleveland Cavaliers,7.5,1.21,NA,TopSport,Boston Celtics
Boston Celtics v Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Player Rebounds,Evan Mobley,Cleveland Cavaliers,7.5,1.38,NA,TopSport,Boston Celtics
Boston Celtics v Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Player Rebounds,Jayson Tatum,Boston Celtics,7.5,1.5,NA,TopSport,Cleveland Cavaliers
Boston Celtics v Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Player Rebounds,Jaylen Brown,Boston Celtics,7.5,3.5,NA,TopSport,Cleveland Cavaliers
Boston Celtics v Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Player Rebounds,Al Horford,Boston Celtics,7.5,3.6,NA,TopSport,Cleveland Cavaliers
Boston Celtics v Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Player Rebounds,Derrick White,Boston Celtics,7.5,6,NA,TopSport,Cleveland Cavaliers
Boston Celtics v Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Player Rebounds,Donovan Mitchell,Cleveland Cavaliers,7.5,6,NA,TopSport,Boston Celtics
Boston Celtics v Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Player Rebounds,Jrue Holiday,Boston Celtics,7.5,7,NA,TopSport,Cleveland Cavaliers
Boston Celtics v Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Player Rebounds,Jarrett Allen,Cleveland Cavaliers,9.5,1.55,NA,TopSport,Boston Celtics
Boston Celtics v Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Player Rebounds,Evan Mobley,Cleveland Cavaliers,9.5,1.93,NA,TopSport,Boston Celtics
Boston Celtics v Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Player Rebounds,Jayson Tatum,Boston Celtics,9.5,2.15,NA,TopSport,Cleveland Cavaliers
Boston Celtics v Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Player Rebounds,Jaylen Brown,Boston Celtics,9.5,8,NA,TopSport,Cleveland Cavaliers
Boston Celtics v Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Player Rebounds,Al Horford,Boston Celtics,9.5,8.5,NA,TopSport,Cleveland Cavaliers
Boston Celtics v Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Player Rebounds,Jarrett Allen,Cleveland Cavaliers,11.5,2.35,NA,TopSport,Boston Celtics
Boston Celtics v Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Player Rebounds,Evan Mobley,Cleveland Cavaliers,11.5,3.25,NA,TopSport,Boston Celtics
Boston Celtics v Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Player Rebounds,Jayson Tatum,Boston Celtics,11.5,4,NA,TopSport,Cleveland Cavaliers
Boston Celtics v Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Player Rebounds,Jarrett Allen,Cleveland Cavaliers,13.5,4.2,NA,TopSport,Boston Celtics
Boston Celtics v Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Player Rebounds,Evan Mobley,Cleveland Cavaliers,13.5,6,NA,TopSport,Boston Celtics
Boston Celtics v Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Player Rebounds,Jayson Tatum,Boston Celtics,13.5,8,NA,TopSport,Cleveland Cavaliers
Boston Celtics v Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Player Rebounds,Payton Pritchard,Boston Celtics,1.5,1.01,NA,TopSport,Cleveland Cavaliers
Boston Celtics v Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Player Rebounds,Darius Garland,Cleveland Cavaliers,3.5,1.01,NA,TopSport,Boston Celtics
Boston Celtics v Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Player Rebounds,Donovan Mitchell,Cleveland Cavaliers,3.5,1.02,NA,TopSport,Boston Celtics
Boston Celtics v Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Player Rebounds,Jaylen Brown,Boston Celtics,3.5,1.02,NA,TopSport,Cleveland Cavaliers
Boston Celtics v Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Player Rebounds,Derrick White,Boston Celtics,3.5,1.03,NA,TopSport,Cleveland Cavaliers
Boston Celtics v Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Player Rebounds,Al Horford,Boston Celtics,3.5,1.05,NA,TopSport,Cleveland Cavaliers
Boston Celtics v Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Player Rebounds,Jrue Holiday,Boston Celtics,3.5,1.05,NA,TopSport,Cleveland Cavaliers
Boston Celtics v Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Player Rebounds,Payton Pritchard,Boston Celtics,3.5,1.19,NA,TopSport,Cleveland Cavaliers
Boston Celtics v Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Player Rebounds,Evan Mobley,Cleveland Cavaliers,5.5,1.03,NA,TopSport,Boston Celtics
Boston Celtics v Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Player Rebounds,Darius Garland,Cleveland Cavaliers,5.5,1.09,NA,TopSport,Boston Celtics
Boston Celtics v Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Player Rebounds,Jaylen Brown,Boston Celtics,5.5,1.1,NA,TopSport,Cleveland Cavaliers
Boston Celtics v Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Player Rebounds,Donovan Mitchell,Cleveland Cavaliers,5.5,1.11,NA,TopSport,Boston Celtics
Boston Celtics v Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Player Rebounds,Derrick White,Boston Celtics,5.5,1.16,NA,TopSport,Cleveland Cavaliers
Boston Celtics v Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Player Rebounds,Jrue Holiday,Boston Celtics,5.5,1.26,NA,TopSport,Cleveland Cavaliers
Boston Celtics v Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Player Rebounds,Al Horford,Boston Celtics,5.5,1.27,NA,TopSport,Cleveland Cavaliers
